NCT Number,Phases_NCT,PMID
NCT02564718,Phase 1|Phase 2,31420317
NCT01989845,Phase 4,29788694
NCT01776424,Phase 3,32951537
NCT01776424,Phase 3,32651298
NCT01776424,Phase 3,32436455
NCT01776424,Phase 3,32223318
NCT01776424,Phase 3,32178526
NCT01776424,Phase 3,31537259
NCT01776424,Phase 3,31524941
NCT01776424,Phase 3,31510769
NCT01776424,Phase 3,31163978
NCT01776424,Phase 3,31152740
NCT01776424,Phase 3,31054846
NCT01776424,Phase 3,30667279
NCT01776424,Phase 3,30654882
NCT01776424,Phase 3,30417662
NCT01776424,Phase 3,29540326
NCT01776424,Phase 3,29132880
NCT01776424,Phase 3,29132879
NCT01776424,Phase 3,28844192
NCT04067505,Phase 3,32993773
NCT02486445,Phase 3,32502267
NCT02116036,Phase 4,32346486
NCT00329628,Phase 3,18579811
NCT01478282,Phase 4,26364029
NCT00332020,Phase 3,18582928
NCT00361894,Phase 3,18579812
NCT00362232,Phase 3,19411100
NCT02064439,Phase 3,28316279
NCT02064439,Phase 3,25994838
NCT02401594,Phase 3,32223113
NCT02544932,Phase 3,27558002
NCT03578146,Phase 2,32092140
NCT01627665,Phase 2|Phase 3,33369212
NCT01627665,Phase 2|Phase 3,31215111
NCT00439777,Phase 3,25698905
NCT00439777,Phase 3,24341332
NCT00439777,Phase 3,24053656
NCT00439777,Phase 3,22449293
NCT00439777,Phase 3,30121419
NCT00439777,Phase 3,27535349
NCT00439777,Phase 3,27030066
NCT00439777,Phase 3,25750589
NCT00439777,Phase 3,22371186
NCT00440193,Phase 3,32737096
NCT00440193,Phase 3,30121419
NCT00440193,Phase 3,27030066
NCT00440193,Phase 3,25750589
NCT00440193,Phase 3,21128814
NCT00440193,Phase 3,27535349
NCT00440193,Phase 3,25698905
NCT00440193,Phase 3,24341332
NCT00440193,Phase 3,24053656
NCT02168829,Phase 4,29447772
NCT00395772,Phase 2,18621928
NCT00439725,Phase 3,27262225
NCT00439725,Phase 3,25698905
NCT00439725,Phase 3,21128814
NCT02832544,Phase 3,32474206
NCT02556203,Phase 3,31733180
NCT02556203,Phase 3,27892890
NCT01720108,Phase 3,29466159
NCT01839357,Phase 3,25819852
NCT01674647,Phase 3,25182247
NCT02234843,Phase 3,33351120
NCT02234843,Phase 3,33002131
NCT02234843,Phase 3,31699660
NCT02234843,Phase 3,30598642
NCT02234843,Phase 3,31420317
NCT02309411,Phase 2,31420317
NCT01629381,Phase 2,27075710
NCT02504216,Phase 3,33138628
NCT02504216,Phase 3,32222135
NCT02504216,Phase 3,29754671
NCT00494871,Phase 3,23229461
NCT00494871,Phase 3,22664783
NCT02128841,Phase 2,31837559
NCT02833948,Phase 3,31733182
