NCT Number,Phases_NCT,PMID
NCT01782235,3_0,33208345
NCT02101333,3_0,32943098
NCT01211834,3_0,32508063
NCT01242488,2_0,24641941
NCT01491074,2_0,30258647
NCT01491074,2_0,29961572
NCT02466581,4_0,28376912
NCT03606876,1_0,33569002
NCT03867617,2_0,33585521
NCT03004703,2_0,31673391
NCT01951170,3_0,29849651
NCT01951170,3_0,30649524
NCT01951170,3_0,29244149
NCT01575769,3_0,29654485
NCT00720798,3_0,27909081
NCT01791153,3_0,30786937
NCT01791153,3_0,28745999
NCT01791153,3_0,30835950
NCT01491815,4_0,33268527
NCT01491815,4_0,28376912
NCT04372186,3_0,33332779
NCT02678988,1_0,31043095
NCT01455701,1_0,31438986
NCT01941940,3_0,30649524
NCT01941940,3_0,29244149
NCT01194414,3_0,27747585
NCT01194414,3_0,26056119
NCT00109408,3_0,28955499
NCT00109408,3_0,27909081
NCT00109408,3_0,22491018
NCT00106522,3_0,22753773
NCT00106522,3_0,22397953
NCT00106522,3_0,27889300
NCT00106522,3_0,24429164
NCT00106548,3_0,29955380
NCT00106548,3_0,24429164
NCT00106548,3_0,22491018
NCT00106548,3_0,20039425
NCT00106535,3_0,32811969
NCT00106535,3_0,27087059
NCT00106535,3_0,26787505
NCT00106535,3_0,23945134
NCT00106535,3_0,23322466
NCT00106535,3_0,27564431
NCT00106535,3_0,24429164
NCT00106535,3_0,22491018
NCT00106535,3_0,21360490
NCT00106574,3_0,27744141
NCT00106574,3_0,24429164
NCT00106574,3_0,22491018
NCT01987479,3_0,30649524
NCT01987479,3_0,29244149
NCT00891020,3_0,22972745
NCT00988221,3_0,24834925
NCT00988221,3_0,32912276
NCT00988221,3_0,30824645
NCT01331837,4_0,31469238
NCT00531817,3_0,21949007
NCT00531817,3_0,23305631
NCT01044498,3_0,24161161
NCT01007435,3_0,28389552
NCT01007435,3_0,26511996
NCT00810199,3_0,25169728
NCT00810199,3_0,26037777
NCT01034137,3_0,30322408
NCT01034137,3_0,29760159
NCT01034137,3_0,29095992
